Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD,Airport
MOR3040,China,China,1/1/2015 0:00,385 ivory products (14 kg) seized at Shenyang Taoxian International Airport - 1 arrested,Elephantidae,Elephants,Ivory - Worked,385.0,14.465,Kilograms,602713.0,CNY,97531.0,Shenyang Taoxian International Airport
MOR30606,China,China,4/9/2017 0:00,10 musical instruments (erhu) made from python skin seized at Xiaoshan Airport,Pythonidae,"Pythons, Pitones",Skin - Leather Product,10.0,,,,,,Hangzhou Xiaoshan International Airport
MOR3061,Taiwan Province of China,Taiwan Province of China,7/14/2015 0:00,120 ivory seals (5.6 kg) seized at Taoyuan International Airport - 1 arrested,Elephantidae,Elephants,Ivory - Worked,120.0,5.6,Kilograms,,,,Taiwan Taoyuan International Airport
MOR30665,United States of America,United States of America,6/1/2015 0:00,Fischers lovebirds seized at John F. Kennedy International Airport - 2 charged,Agapornis fischeri,"Fischer's Lovebird, Inseparable de Fischer, Inséparable de Fischer, Perruche de Fischer",Individual - Live,12.0,,,,,,John F. Kennedy International Airport
MOR3084,China,China,2/6/2015 0:00,"1 tiger skin, 7.7 kg tiger bones, 15 worked ivory pieces (1.8 kg) & 8 rhino horn pieces (9.7 kg) seized at Kunming Airport - 2 arrested",Elephas maximus,"Asian Elephant, Indian Elephant, Elefante asiático, Eléphant d'Asie, Eléphant d'Inde",Ivory - Worked,11.0,1.877,Kilograms,,,,Kunming Changshui International Airport
MOR3084,China,China,2/6/2015 0:00,"1 tiger skin, 7.7 kg tiger bones, 15 worked ivory pieces (1.8 kg) & 8 rhino horn pieces (9.7 kg) seized at Kunming Airport - 2 arrested",Panthera tigris corbetti,Indochinese Tiger,Skin,1.0,4.211,Kilograms,480000.0,CNY Yuan Renminbi,77912.6,Kunming Changshui International Airport
MOR3084,China,China,2/6/2015 0:00,"1 tiger skin, 7.7 kg tiger bones, 15 worked ivory pieces (1.8 kg) & 8 rhino horn pieces (9.7 kg) seized at Kunming Airport - 2 arrested",Panthera tigris,"Tiger, Tigre",Bone,,7.7,Kilograms,,,,Kunming Changshui International Airport
MOR3084,China,China,2/6/2015 0:00,"1 tiger skin, 7.7 kg tiger bones, 15 worked ivory pieces (1.8 kg) & 8 rhino horn pieces (9.7 kg) seized at Kunming Airport - 2 arrested",Ceratotherium simum,"Grass Rhinoceros, Square-lipped Rhinoceros, White Rhinoceros, Rinoceronte blanco, Rhinocéros blanc",Horn Pieces - Raw,8.0,9.7,Kilograms,2431000.0,CNY Yuan Renminbi,394595.0,Kunming Changshui International Airport
MOR3084,China,China,2/6/2015 0:00,"1 tiger skin, 7.7 kg tiger bones, 15 worked ivory pieces (1.8 kg) & 8 rhino horn pieces (9.7 kg) seized at Kunming Airport - 2 arrested",Elephas maximus,"Asian Elephant, Indian Elephant, Elefante asiático, Eléphant d'Asie, Eléphant d'Inde",Ivory - Worked,4.0,1.877,Kilograms,,,,Kunming Changshui International Airport
MOR3112,Switzerland,Switzerland,7/6/2015 0:00,"262 kg of ivory, 21 lion teeth and 35 lion claws seized at Zurich Airport",Elephantidae,Elephants,Ivory Pieces - Raw,172.0,262.0,Kilograms,400000.0,CHF,413000.0,Zurich Airport
MOR3112,Switzerland,Switzerland,7/6/2015 0:00,"262 kg of ivory, 21 lion teeth and 35 lion claws seized at Zurich Airport",Panthera leo,"Lion, León, Lion d'Afrique",Teeth,21.0,,,,,,Zurich Airport
MOR3112,Switzerland,Switzerland,7/6/2015 0:00,"262 kg of ivory, 21 lion teeth and 35 lion claws seized at Zurich Airport",Panthera leo,"Lion, León, Lion d'Afrique",Claw,35.0,,,,,,Zurich Airport
MOR3122,Hong Kong,Hong Kong,7/27/2015 0:00,10 rhino horn pieces (6.71 kg) seized at Hong Kong International Airport,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn Pieces - Raw,10.0,6.71,Kilograms,1340000.0,HKD,172000.0,"SkyPier Terminal, Hong Kong Airport"
MOR3139,India,India,7/2/2015 0:00,60 Indian star tortoises seized at Chennai International Airport - 1 suspect,Geochelone elegans,"Indian Star Tortoise, Star Tortoise, Tortuga estrellada de la India, Tortue étoilée de l'Inde",Individual - Live,60.0,,,,,,Chennai International Airport
MOR3147,Viet Nam,Viet Nam,8/14/2015 0:00,42.2 kg of pangolin scales seized at Tan Son Nhat International Airport,Phataginus tricuspis,"Three-cusped Pangolin, Tree Pangolin, White-bellied Pangolin, Pangolin à écailles tricuspides, Pangolin commun, Tricuspide",Scales,,42.2,Kilograms,,,,Tan Son Nhat International Airport
MOR3173,Hong Kong,Hong Kong,8/24/2015 0:00,15 kg of ivory pieces and carvings seized at Hong Kong International Airport - 1 arrested,Elephantidae,Elephants,Ivory Pieces - Raw,,15.0,Kilograms,,,,"SkyPier Terminal, Hong Kong Airport"
MOR3173,Hong Kong,Hong Kong,8/24/2015 0:00,15 kg of ivory pieces and carvings seized at Hong Kong International Airport - 1 arrested,Elephantidae,Elephants,Ivory - Worked,,15.0,Kilograms,150000.0,HKD Hong Kong Dollar,19354.0,"SkyPier Terminal, Hong Kong Airport"
MOR3174,Hong Kong,Hong Kong,8/7/2015 0:00,15 kg ivory products seized at Hong Kong International Airport - 1 arrested,Elephantidae,Elephants,Ivory - Worked,,15.0,Kilograms,150000.0,HKD Hong Kong Dollar,19351.1,"SkyPier Terminal, Hong Kong Airport"
MOR3175,Hong Kong,Hong Kong,7/27/2015 0:00,15 kg of ivory and ivory carvings seized at Hong Kong International Airport - 1 convicted,Elephantidae,Elephants,Ivory Pieces - Raw,,15.0,Kilograms,,,,"SkyPier Terminal, Hong Kong Airport"
MOR3175,Hong Kong,Hong Kong,7/27/2015 0:00,15 kg of ivory and ivory carvings seized at Hong Kong International Airport - 1 convicted,Elephantidae,Elephants,Ivory - Worked,,15.0,Kilograms,150000.0,HKD Hong Kong Dollar,19354.0,"SkyPier Terminal, Hong Kong Airport"
MOR3179,Hong Kong,Hong Kong,9/6/2015 0:00,51 kg ivory pieces seized from two parcels at Hong Kong International Airport,Elephantidae,Elephants,Ivory Pieces - Raw,,51.0,Kilograms,,,,"SkyPier Terminal, Hong Kong Airport"
MOR3222,Hong Kong,Hong Kong,9/29/2015 0:00,16 kg of ivory pieces seized at Hong Kong International Airport - 1 arrested,Elephantidae,Elephants,Ivory Pieces - Raw,,16.0,Kilograms,,,,"SkyPier Terminal, Hong Kong Airport"
MOR3223,Madagascar,Madagascar,9/29/2015 0:00,8 ploughshare & 763 radiated tortoises seized at Ivato International Airport,Astrochelys yniphora,"Angonoka, Madagascar Angulated Tortoise, Madagascar Tortoise, Tortuga de espolones, Tortuga de Madagascar, Tortuga globulosa malagache, Tortue à éperon, Tortue à plastron éperonné, Tortue à soc, Tortue à soc de Madagascar, Tortue de Madagascar, Ploughshare Tortoise",Individual - Live,8.0,,,,,,Ivato International Airport
MOR3223,Madagascar,Madagascar,9/29/2015 0:00,8 ploughshare & 763 radiated tortoises seized at Ivato International Airport,Astrochelys radiata,"Radiated Tortoise, Tortuga estrellada de Madagascar, Tortuga rayada, Tortue radiée de Madagascar, Tortue rayonnée",Individual - Live,763.0,,,,,,Ivato International Airport
MOR3228,Hong Kong,Hong Kong,9/25/2015 0:00,13 kg ivory products seized at Hong Kong International Airport - 1 arrested,Elephantidae,Elephants,Ivory - Worked,,13.0,Kilograms,130000.0,HKD Hong Kong Dollar,16774.0,"SkyPier Terminal, Hong Kong Airport"
MOR3237,Cambodia,Cambodia,10/4/2015 0:00,"15 tusks (43 kg), 1.9 kg dried elephant tail & tiger fangs and claws seized at Siem Reap International Airport - 1 arrested",Elephantidae,Elephants,Tusk,15.0,43.0,Kilograms,,,,Siem Reap International Airport
MOR3237,Cambodia,Cambodia,10/4/2015 0:00,"15 tusks (43 kg), 1.9 kg dried elephant tail & tiger fangs and claws seized at Siem Reap International Airport - 1 arrested",Elephantidae,Elephants,Tail,11.0,1.9,Kilograms,,,,Siem Reap International Airport
MOR3237,Cambodia,Cambodia,10/4/2015 0:00,"15 tusks (43 kg), 1.9 kg dried elephant tail & tiger fangs and claws seized at Siem Reap International Airport - 1 arrested",Panthera tigris,"Tiger, Tigre",Claw,,0.2,Kilograms,,,,Siem Reap International Airport
MOR3237,Cambodia,Cambodia,10/4/2015 0:00,"15 tusks (43 kg), 1.9 kg dried elephant tail & tiger fangs and claws seized at Siem Reap International Airport - 1 arrested",Panthera tigris,"Tiger, Tigre",Teeth,,0.2,Kilograms,,,,Siem Reap International Airport
MOR3301,Zimbabwe,Zimbabwe,10/24/2015 0:00,173 kg ivory seized at Harare International Airport - 4 arrested,Elephantidae,Elephants,Ivory Pieces - Raw,,173.0,Kilograms,43000.0,USD US Dollar,43000.0,Harare International Airport
MOR3312,India,India,8/10/2015 0:00,"199 star tortoises seized at Chennai Airport, one suspect arrested",Geochelone elegans,"Indian Star Tortoise, Star Tortoise, Tortuga estrellada de la India, Tortue étoilée de l'Inde",Individual - Live,199.0,,,,,,Chennai International Airport
